entry	name	file	status	error
00423690	__atoi64	decompile/00423690___atoi64.c	ok	
00423770	_atof	decompile/00423770__atof.c	ok	
00423800	_fprintf	decompile/00423800__fprintf.c	ok	
00423850	_rand	decompile/00423850__rand.c	ok	
00423880	_strncpy	decompile/00423880__strncpy.c	ok	
00423980	__makepath	decompile/00423980___makepath.c	ok	
00423a20	__splitpath	decompile/00423a20___splitpath.c	ok	
00423b80	_strncat	decompile/00423b80__strncat.c	ok	
00423cb0	_strncmp	decompile/00423cb0__strncmp.c	ok	
00423cf0	_realloc	decompile/00423cf0__realloc.c	ok	
00423eb0	_strchr	decompile/00423eb0__strchr.c	ok	
00423f70	__lseek	decompile/00423f70___lseek.c	ok	
00424120	entry	decompile/00424120_entry.c	ok	
004242c0	__amsg_exit	decompile/004242c0___amsg_exit.c	ok	
004242f0	__flsbuf	decompile/004242f0___flsbuf.c	ok	
00424440	__output	decompile/00424440___output.c	ok	
00424df0	write_char	decompile/00424df0_write_char.c	ok	
00424e40	write_multi_char	decompile/00424e40_write_multi_char.c	ok	
00424e80	write_string	decompile/00424e80_write_string.c	ok	
00424ec0	get_int_arg	decompile/00424ec0_get_int_arg.c	ok	
00424ed0	get_int64_arg	decompile/00424ed0_get_int64_arg.c	ok	
00424ef0	get_short_arg	decompile/00424ef0_get_short_arg.c	ok	
00424f00	__heap_init	decompile/00424f00___heap_init.c	ok	
00424fb0	___sbh_new_region	decompile/00424fb0____sbh_new_region.c	ok	
00425120	___sbh_release_region	decompile/00425120____sbh_release_region.c	ok	
00425180	___sbh_decommit_pages	decompile/00425180____sbh_decommit_pages.c	ok	
00425260	___sbh_find_block	decompile/00425260____sbh_find_block.c	ok	
004252c0	___sbh_free_block	decompile/004252c0____sbh_free_block.c	ok	
00425310	___sbh_alloc_block	decompile/00425310____sbh_alloc_block.c	ok	
00425590	___sbh_alloc_block_from_page	decompile/00425590____sbh_alloc_block_from_page.c	ok	
00425710	___sbh_resize_block	decompile/00425710____sbh_resize_block.c	ok	
004257e0	___sbh_heap_check	decompile/004257e0____sbh_heap_check.c	ok	
004259b0	__close	decompile/004259b0___close.c	ok	
00425a80	__freebuf	decompile/00425a80___freebuf.c	ok	
00425ac0	_fflush	decompile/00425ac0__fflush.c	ok	
00425b10	__flush	decompile/00425b10___flush.c	ok	
00425b90	flsall	decompile/00425b90_flsall.c	ok	
00425c20	__filbuf	decompile/00425c20___filbuf.c	ok	
00425d10	__read	decompile/00425d10___read.c	ok	
00425f80	__openfile	decompile/00425f80___openfile.c	ok	
00426190	__getstream	decompile/00426190___getstream.c	ok	
00426230	__callnewh	decompile/00426230___callnewh.c	ok	
00426260	__setdefaultprecision	decompile/00426260___setdefaultprecision.c	ok	
00426280	__ms_p5_test_fdiv	decompile/00426280___ms_p5_test_fdiv.c	ok	
004262d0	__ms_p5_mp_test_fdiv	decompile/004262d0___ms_p5_mp_test_fdiv.c	ok	
00426440	__cftoe	decompile/00426440___cftoe.c	ok	
00426580	__cftof	decompile/00426580___cftof.c	ok	
00426680	__cftog	decompile/00426680___cftog.c	ok	
00426730	__cftoe_g	decompile/00426730___cftoe_g.c	ok	
00426760	__cftof_g	decompile/00426760___cftof_g.c	ok	
00426800	__shift	decompile/00426800___shift.c	ok	
00426830	__cintrindisp2	decompile/00426830___cintrindisp2.c	ok	
0042686e	__cintrindisp1	decompile/0042686e___cintrindisp1.c	ok	
004268a4	__ctrandisp2	decompile/004268a4___ctrandisp2.c	ok	
00426a15	__ctrandisp1	decompile/00426a15___ctrandisp1.c	ok	
00426a41	__fload	decompile/00426a41___fload.c	ok	
00426a80	__trandisp1	decompile/00426a80___trandisp1.c	ok	
00426ae7	__trandisp2	decompile/00426ae7___trandisp2.c	ok	
004279e0	__isctype	decompile/004279e0___isctype.c	ok	
00427a80	__allmul	decompile/00427a80___allmul.c	ok	
00427ac0	__fltin	decompile/00427ac0___fltin.c	ok	
00427b70	__stbuf	decompile/00427b70___stbuf.c	ok	
00427c10	__ftbuf	decompile/00427c10___ftbuf.c	ok	
00427c60	__mbsdec	decompile/00427c60___mbsdec.c	ok	
00427cc0	__mbsnbcpy	decompile/00427cc0___mbsnbcpy.c	ok	
00427d50	__setmbcp	decompile/00427d50___setmbcp.c	ok	
00427f30	getSystemCP	decompile/00427f30_getSystemCP.c	ok	
00427f80	_CPtoLCID	decompile/00427f80__CPtoLCID.c	ok	
00427fe0	setSBCS	decompile/00427fe0_setSBCS.c	ok	
00428020	___initmbctable	decompile/00428020____initmbctable.c	ok	
00428030	__dosmaperr	decompile/00428030___dosmaperr.c	ok	
004280a0	__alloc_osfhnd	decompile/004280a0___alloc_osfhnd.c	ok	
00428160	__set_osfhnd	decompile/00428160___set_osfhnd.c	ok	
